id,accommodates,bathrooms,bedrooms,beds,price
8407390,2,1,0,1,80
5894748,2,1,0,1,96
130470,4,1,2,2,189
704025,3,1,1,1,289
1085657,3,1,1,1,299
7559867,6,1,2,2,170
7815293,2,1,1,1,130
7225840,4,1,1,1,149
1901094,3,1,1,2,259
3768871,6,2,2,3,349
7545928,2,1,1,1,78
8356095,2,1,0,1,125
4481897,2,1,1,1,95
5538672,2,1,0,1,130
1966995,2,1,1,1,72
6938781,4,1,1,2,175
1901533,3,1,1,2,246
4457588,3,1,0,1,140
6956166,2,1,0,2,65
4727087,2,1,0,1,125
7258693,4,1,1,1,85
90734,3,1,1,1,309
6791838,3,1,1,1,569
4580081,4,1,0,2,150
623373,4,,2,2,279
4266897,4,1,1,2,154
5047724,4,1,1,2,165
2262461,3,1,1,2,149
8160707,2,1,0,1,104
2594382,1,1,1,1,125
4408795,3,1,1,2,259
8446490,3,1,1,1,155
1079181,2,1,1,1,259
100440,3,1,1,1,189
1853555,4,1,1,1,110
7112427,1,1,1,1,58
3090274,2,1,1,1,68
1058667,4,2,2,2,309
3047590,2,1.5,1,1,160
7604187,2,1,1,2,80
6797009,3,1,1,1,569
8407813,4,1,1,1,103
5870042,5,2,2,2,629
5114143,5,2,2,3,324
5220930,2,1,0,1,90
155756,4,2,2,2,329
1065411,4,2,2,2,299
248536,5,2,2,2,349
6645543,3,1,0,1,95
240495,3,1,1,1,189
2590533,5,2,2,3,324
5202425,4,1,0,1,100
6221367,4,2,2,2,299
7131054,4,1,1,1,215
1003509,5,2,2,2,319
924924,2,1,,1,155
36541,3,1,1,1,209
807680,2,1,1,1,249
2641263,4,2,2,2,329
7615495,2,1,0,1,99
4565171,5,2,2,3,324
8303678,4,1,2,2,168
6214131,4,1.5,2,2,215
234238,2,1,0,1,159
6968141,5,2,2,2,629
6181730,5,2,2,2,629
6878647,2,1.5,1,1,89
3020248,1,1,1,1,36
8541684,2,1,0,1,100
7910362,2,1,1,1,115
34000,2,1,,1,239
7853213,1,1,1,1,100
1029369,3,1,1,1,189
5870899,2,1,0,1,159
8615548,1,1,1,1,100
4258011,1,1,1,1,100
3930336,2,1,1,1,160
8034375,2,1.5,1,1,130
5003334,4,1,1,2,125
4385129,3,1,0,2,115
2570378,4,1,1,2,189
8632665,4,1,1,2,140
8443024,4,1,1,2,"1,000.00"
5814764,3,1,1,2,165
3151012,2,1,0,1,115
22943,3,,1,1,249
